paper,citationKey,robot,Main
"Alben, S., Witt, C., Baker, T. V., Anderson, E., & Lauder, G. V. (2012). Dynamics of freely swimming flexible foils. Physics of Fluids, 24(5). https://doi.org/10.1063/1.4709477",Alben_etal_2012,,TRUE
"U. K. Muller, J. Smit, E. J. Stamhuis, and J. J. Videler, “How the body contributes to the wake in undulatory fish swimming flow fields of a swimming eel (Anguilla anguilla),” J. Exp. Biol. 204(16), 2751–2762 (2001)",Muller_etal_2001,fit,
"K. Singh and T. J. Pedley, “The hydrodynamics of flexible-body manoeuvres in swimming fish,” Physica D: Nonlinear Phenom. 237(14–17), 2234–2239 (2008).",Singh_2008,fish,
"N. Vandenberghe, J. Zhang, and S. Childress, “Symmetry breaking leads to forward flapping flight,” J. Fluid Mech. 506, 147–155 (2004).",Vandenberghe_etal_2004,,
"S. Childress, N. Vandenberghe, and J. Zhang, “Hovering of a passive body in an oscillating airflow,” Phys. Fluids 18, 117103 (2006)",Childress_etal_2006,,
"A. J. Bergou, S. Xu, and Z. J. Wang, “Passive wing pitch reversal in insect flight,” J. Fluid Mech. 591, 321–337 (2007)",Bergou_etal_2007,,
"S. Alben and M. J. Shelley, “Coherent locomotion as an attracting state for a free flapping body,” Proc. Natl. Acad. Sci. U.S.A. 102(32), 11163–11166 (2005).",Alben_2005,,
"S. E. Spagnolie and M. J. Shelley, “Shape-changing bodies in fluid: Hovering, ratcheting, and bursting,” Phys. Fluids 21, 013103 (2009)",Spagnoli_2009,,
"S. Alben, “Passive and active bodies in vortex-street wakes,” J. Fluid Mech. 642, 95–125 (2009)",Alben_2009,,
"S. Alben, “An implicit method for coupled flow-body dynamics,” J. Comput. Phys. 227(10), 4912–4933 (2008)",Alben_2008,,
"S. Alben, “Optimal flexibility of a flapping appendage at high Reynolds number,” J. Fluid Mech. 614, 355–380 (2008)",Alben_2008_b,,
"J. D. Eldredge and D. Pisani, “Passive locomotion of a simple articulated fish-like system in the wake of an obstacle,” J. Fluid Mech. 607, 279–288 (2008)",Eldredge_2008,,
"E. Kanso and P. K. Newton, “Passive locomotion via normal-mode coupling in a submerged spring–mass system,” J. Fluid Mech. 641, 205–215 (2009)",Kanso_2009_b,,
"C. Eloy and L. Schouveiler, “Optimisation of two-dimensional undulatory swimming at high Reynolds number,” Int. J. Non-Linear Mech. 46(4), 568–576 (2011).",Eloy_2011,,
"S. Kern and P. Koumoutsakos, “Simulations of optimized anguilliform swimming,” J. Exp. Biol. 209(24), 4841 (2006).",Kern_2008,,
"A. A. Shirgaonkar, O. M. Curet, N. A. Patankar, and M. A. MacIver, “The hydrodynamics of ribbon-fin propulsion during impulsive motion,” J. Exp. Biol. 211(21), 3490 (2008).",Shirgaonkar_etal_2008,,
"S. Alben, “Simulating the dynamics of flexible bodies and vortex sheets,” J. Comput. Phys. 228(7), 2587–2603 (2009)",Alben_2009_b,,
"R. Krasny, “Computation of vortex sheet roll-up in the Trefftz plane,” J. Fluid Mech. 184, 123–155 (1987).",Krasny_1987,,
"M. Jones, “The separated flow of an inviscid fluid around a moving flat plate,” J. Fluid Mech. 496, 405–401 (2003)",Jones_2003_b,,
"C. Eloy, C. Souilliez, and L. Schouveiler, “Flutter of a rectangular plate,” J. Fluids Struct. 23(6), 904–919 (2007).",Eloy_2007,,
"S. Alben, P. G. Madden, and G. V. Lauder, “The mechanics of active fin-shape control in ray-finned fishes,” J. R. Soc. Interface 4(13), 243–256 (2007).",Alben_etal_2007,,
